Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrolled,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Summer Session,Class Location Description,City
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,766,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,772,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Hutchison,Paul D",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,774,Graduate,DIRECTED STUDY,3,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,,5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,5900,ACCT 5900,ACCT 5900,775,Graduate,DIRECTED STUDY,1,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,7/25/2025,"Wilner,Neil Alan",10W,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,3,Graduate,SEM ADV TOPS ACCT,2,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Marquardt,Blair Brackin",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,701,Graduate,SEM ADV TOPS ACCT,2,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Sun,Lili",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,704,Graduate,SEM ADV TOPS ACCT,2,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Robertson,Jesse Charles",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,705,Graduate,SEM ADV TOPS ACCT,5,0,CRE,,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Marquardt,Blair Brackin",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,707,Graduate,SEM ADV TOPS ACCT,6,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Sapkota,Pradeep",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,6010,ACCT 6010,ACCT 6010,708,Graduate,SEM ADV TOPS ACCT,6,0,CRE,,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Neel,Michael J",5W2,UNT Main Campus,Denton
